Time,Data,Average,SD
 11:12:31   ,312.0,298.9,13.95
 11:12:34   ,302.0,298.0,13.33
 11:12:37   ,315.0,300.8,14.72
 11:12:40   ,295.0,298.6,13.93
 11:12:43   ,301.0,304.7,5.83
 11:12:46   ,282.0,302.1,9.28
 11:12:49   ,288.0,302.2,8.01
 11:12:52   ,298.0,301.1,9.24
 11:12:55   ,295.0,300.0,10.07
 11:12:58   ,311.0,300.3,9.96
 11:13:01   ,310.0,299.8,9.98
 11:13:04   ,304.0,299.1,9.39
 11:13:07   ,299.0,299.4,9.83
 11:13:10   ,300.0,298.4,8.57
 11:13:13   ,306.0,299.4,8.77
 11:13:16   ,305.0,299.2,8.68
 11:13:19   ,311.0,302.2,7.21
 11:13:22   ,308.0,303.6,5.12
 11:13:25   ,305.0,304.6,5.08
 11:13:28   ,304.0,305.8,4.04
 11:13:31   ,298.0,304.6,4.25
 11:13:34   ,309.0,305.1,3.53
 11:13:37   ,308.0,304.4,4.03
 11:13:40   ,304.0,305.0,3.71
 11:13:43   ,304.0,305.8,3.4
 11:13:46   ,305.0,305.7,3.41
 11:13:49   ,305.0,305.6,3.44
 11:13:52   ,304.0,304.9,2.95
 11:13:55   ,306.0,304.8,2.79
 11:13:58   ,309.0,305.0,3.07
 11:14:01   ,306.0,304.9,2.81
 11:14:04   ,305.0,305.9,1.92
 11:14:07   ,308.0,305.9,1.76
 11:14:10   ,307.0,305.5,1.5
 11:14:13   ,311.0,306.3,2.19
 11:14:16   ,309.0,306.4,1.69
 11:14:19   ,307.0,306.8,1.99
 11:14:22   ,307.0,307.2,1.99
 11:14:25   ,308.0,307.6,1.69
 11:14:28   ,306.0,307.5,1.69
 11:14:31   ,305.0,307.3,1.73
 11:14:34   ,301.0,306.9,2.51
 11:14:37   ,304.0,307.2,1.89
 11:14:40   ,308.0,306.9,2.51
 11:14:43   ,308.0,306.6,2.65
 11:14:46   ,309.0,306.4,2.37
 11:14:49   ,310.0,306.4,2.42
 11:14:52   ,309.0,306.5,2.42
 11:14:55   ,311.0,307.0,2.86
 11:14:58   ,310.0,307.0,2.79
 11:15:01   ,304.0,306.9,3.05
 11:15:04   ,309.0,307.9,2.91
 11:15:07   ,304.0,307.7,2.57
 11:15:10   ,304.0,308.2,2.27
 11:15:13   ,299.0,307.3,3.58
 11:15:16   ,307.0,307.7,2.61
 11:15:19   ,297.0,305.7,4.65
 11:15:22   ,305.0,306.2,3.49
 11:15:25   ,300.0,304.5,4.54
 11:15:28   ,294.0,303.3,4.9
 11:15:31   ,300.0,302.9,3.59
 11:15:34   ,304.0,302.3,4.43
 11:15:37   ,305.0,301.5,3.93
 11:15:40   ,319.0,302.9,6.55
 11:15:43   ,304.0,301.5,3.93
 11:15:46   ,309.0,304.0,6.65
 11:15:49   ,309.0,303.7,6.57
 11:15:52   ,304.0,304.4,6.18
 11:15:55   ,309.0,305.3,6.45
 11:15:58   ,304.0,305.2,6.14
 11:16:01   ,306.0,306.9,4.87
 11:16:04   ,313.0,308.0,4.71
 11:16:07   ,304.0,307.3,4.43
 11:16:10   ,310.0,308.7,4.47
 11:16:13   ,305.0,306.7,2.97
 11:16:16   ,307.0,307.5,2.87
 11:16:19   ,311.0,307.5,3.14
 11:16:22   ,313.0,307.5,3.38
 11:16:25   ,304.0,307.3,3.1
 11:16:28   ,312.0,308.5,3.5
 11:16:31   ,306.0,307.9,3.36
 11:16:34   ,315.0,309.4,3.88
 11:16:37   ,310.0,308.2,3.22
 11:16:40   ,312.0,309.5,3.56
 11:16:43   ,306.0,308.9,3.59
 11:16:46   ,311.0,310.1,3.24
 11:16:49   ,309.0,309.8,3.34
 11:16:52   ,310.0,309.9,3.33
 11:16:55   ,304.0,308.9,3.56
 11:16:58   ,308.0,309.9,2.66
 11:17:01   ,304.0,308.7,3.44
 11:17:04   ,315.0,310.0,3.35
 11:17:07   ,309.0,308.3,2.65
 11:17:10   ,303.0,308.2,3.74
 11:17:13   ,305.0,308.1,3.3
